Expansion,ID,Name,AugType,IconURL,ItemFlags,IsLore,SlotCompat,ClassList,AC,HP,MANA,END,ATK,HSta,HStr,HWis,HInt,HDex,HAgi,HCha,SVFire,SVCold,SVMagic,SVPoison,SVDisease,EquipRestrictions,FocusEffectName,FocusEffectDesc,RequiredLevel
LDON,40999,Wayfarers Brotherhood Emblem,1 2 4 5 6 7 8 9 10 11 12,https://dlil5rqe0ybd2.cloudfront.net/1437.png,"['MAGIC', 'LORE', 'NO TRADE']",True,Charm,['All'],10,100,100,100,0,0,0,0,0,0,0,0,10,10,10,10,10,,,,
LDON,41000,Adventurer's Stone,1 2 4 5 6 7 8 9 10 11 12,https://dlil5rqe0ybd2.cloudfront.net/1437.png,"['MAGIC', 'LORE', 'NO TRADE']",True,Charm,['All'],10,100,100,100,0,0,0,0,0,0,0,0,10,10,10,10,10,,,,
LDON,41006,Flawless Green Shard of Might,1 2 4 5 6 7 8 9 10 11 12,https://dlil5rqe0ybd2.cloudfront.net/1437.png,"['NO TRADE', 'PRESTIGE']",False,"All except Charm, Ammo",['All'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
LDON,41007,Ancient Green Shard of Might,1 2 4 5 6 7 8 9 10 11 12,https://dlil5rqe0ybd2.cloudfront.net/1434.png,"['NO TRADE', 'PRESTIGE']",False,"All except Charm, Ammo",['All'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
LDON,41013,Flawless Purple Gem of Deftness,1 2 4 5 6 7 8 9 10 11 12,https://dlil5rqe0ybd2.cloudfront.net/1434.png,"['NO TRADE', 'PRESTIGE']",False,"All except Charm, Ammo",['All'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
LDON,41014,Ancient Purple Gem of Deftness,1 2 4 5 6 7 8 9 10 11 12,https://dlil5rqe0ybd2.cloudfront.net/945.png,"['NO TRADE', 'PRESTIGE']",False,"All except Charm, Ammo",['All'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
LDON,41015,Blue Jewel of Nimbleness,1 2 4 5 6 7 8 9 10 11 12,https://dlil5rqe0ybd2.cloudfront.net/945.png,"['NO TRADE', 'PRESTIGE']",False,"All except Charm, Ammo",['All'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
LDON,41016,Cracked Blue Jewel of Nimbleness,1 2 4 5 6 7 8 9 10 11 12,https://dlil5rqe0ybd2.cloudfront.net/945.png,"['NO TRADE', 'PRESTIGE']",False,"All except Charm, Ammo",['All'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
LDON,41017,Dull Blue Jewel of Nimbleness,1 2 4 5 6 7 8 9 10 11 12,https://dlil5rqe0ybd2.cloudfront.net/945.png,"['NO TRADE', 'PRESTIGE']",False,"All except Charm, Ammo",['All'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
LDON,41018,Shiny Blue Jewel of Nimbleness,1 2 4 5 6 7 8 9 10 11 12,https://dlil5rqe0ybd2.cloudfront.net/945.png,"['NO TRADE', 'PRESTIGE']",False,"All except Charm, Ammo",['All'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
